,,,,,,,,,,,
,Комбикорм,,,,,,,,,,
,Зерно,,,,,,,,,,
,Зоотовары,,,,,,,,,,
,Инкубатор,,,,,,,,,,
,Клетки,,,,,,,,,,
,Поилки,,,,,,,,,,
,Рассада,,,,,,,,,,
,Животные,,,,,,,,,,
,Производство,,,,,,,,,,
,Средства защиты,,,,,,,,,,
,,,,,,,,,,,
,В продажее поивились фейерверги,,,,,,,,,,
,Елки,,,,,,,,,,
,Гирлянды,,,,,,,,,,
, ,,,,,,,,,,
,,,,,,,,,,,
,Прайс-лист,,,,,,,,,,
,17 Мая 2016 г.,,,,,,,,,,
,,,,,,,,,,,
,Наименование товаров,Роничные,,,,,,,,,
,,(включая НДС и НП),,,Куры,Гуси утки,Перепела,Индейка,Свинья,"Крупно рогатый скот, козы овцы","Кролики,нутрии"
,Гирлянды,,,1,,,,,,,
,Гирлянды Светодиодные 160л.,450.00 руб,шт,1,,,,,,,
,Гирлянды Светодиодные 40л. с фигурками,500.00 руб,шт,1,,,,,,,
,Е2003 100л. простая 7м.,338.00 руб,шт,1,,,,,,,
,"Е2019 100 ламп, цветные лампы",405.00 руб,шт,1,,,,,,,
,"Е2065 Сосулька 200л. 2,7м.",408.00 руб,шт,1,,,,,,,
,"Е2100 Сетка 100л. елка 1,2х1,2",615.00 руб,шт,1,,,,,,,
,Е2105 Сетка 320 ламп цетная бегущая,"1,400.00 руб",шт,1,,,,,,,
,"Е50539  рис.Снежинка 25мм, 100 ламп, цветная.5,2 м+1,5м",605.00 руб,шт,1,,,,,,,
,Дерево,,,0,,,,,,,
,Кормушка №1,"1,800.00 руб",шт,0,,,,,,,
,Кормушка №2,"2,250.00 руб",шт,0,,,,,,,
,Кормушка для синиц,"1,500.00 руб",шт,0,,,,,,,
,Разделочная доска,500.00 руб,шт,0,,,,,,,
,Скворечник,"1,500.00 руб",шт,0,,,,,,,
,Стул,"7,000.00 руб",шт,0,,,,,,,
,Елки,,,1,,,,,,,
,Ель,"1,000.00 руб",шт,1,,,,,,,
,Подставка,700.00 руб,шт,1,,,,,,,
,Сосна,900.00 руб,шт,1,,,,,,,
,Живность,,,1,,,,,,,
,"Куры ""Хайсекс Белый""",450.00 руб,шт,1,,,,,,,
,"Куры ""Хайсекс Браун""",400.00 руб,шт,1,,,,,,,
,Зерно,,,1,,,,,,,
,Зерновая смесь для птицы,25.00 руб,кг,1,1,1,1,1,,,
,Кукуруза,19.00 руб,кг,1,1,1,,1,1,,1
,Кукуруза Размол,20.00 руб,кг,1,1,1,1,1,1,,
,"Мел 2,5 кг",150.00 руб,шт,1,1,1,1,1,1,1,
,Овес,15.00 руб,кг,1,1,1,,1,1,1,1
,Отруби,12.00 руб,кг,1,1,1,,1,1,1,1
,Просо,25.00 руб,кг,1,1,1,1,1,,,
,Пшеница,17.00 руб,кг,1,1,1,,1,1,,
,Размол зерновых,18.00 руб,кг,1,1,1,,1,1,,
,Размол зерновых №2,19.00 руб,кг,1,1,1,1,1,1,,
,Ракушка,20.00 руб,кг,1,1,1,1,1,1,,
,семечки,36.00 руб,кг,1,1,1,1,1,1,,
,Ячмень,17.00 руб,кг,1,1,1,,1,1,1,1
,Зоотовары,,,1,,,,,,,
,БРИТ для крупных пород 12 кг.,"4,084.00 руб",шт,1,,,,,,,
,Вака + для крупных попугаев 800г.,180.00 руб,шт,1,,,,,,,
,Вака + для Мел/сред. попугаев 500г.,47.00 руб,шт,1,,,,,,,
,Вака для грызунов 500г.,29.00 руб,шт,1,,,,,,,
